"One of these species is the arrow cichlid ( "" Amphilophus zaliosus "" ) , described in 1976 ."	cichlid	In addition to the Cat and the scolding fish , other Dr. Seuss characters are alluded to .	fish	1
In Connecticut , high winds moved in quickly and unexpectedly , and a boater was killed when his trimaran capsized in 50-knot winds on Long Island Sound .	trimaran	Other important aspects of otter tool-use behaviors include the use of tool composites and tool reuse .	tool	0
The opah retains heat with insulating layers of fat , which insulates the heart from the gills , and the pectoral muscles from the surrounding water .	opah	A typical shrike 's beak is hooked , like a bird of prey .	bird	0
"The crest above the shield was a black "" moorcock "" representing Sale Moor ."	moorcock	This increases the surface area of the toes and helps support the bird on snow and probably to grip branches as well .	bird	1
Many of the names are more or less regional in the U.S. , including mosquito hawk , mosquito eater , gallinipper , and gollywhopper .	mosquito	The predatory bird is the next host for the parasite in the next stage of its life cycle .	bird	0
He advised on the development of the Pitcairn PA-39 autogiro , of which seven had been ordered for the Fleet Air Arm .	autogiro	The Canvas is a tool to help entrepreneurs structure and plan their business models .	tool	0
Gyrostigma Gyrostigma is a genus of botfly which parasitize rhinoceroses .	botfly	List of birds of San Marino This is a list of the bird species recorded in San Marino .	bird	0
Mark Niederbrock arrived at the home Sept. 17 about 5 p.m. , and McCroskey attacked him with the maul in a living room , Ennis said .	maul	Other important aspects of otter tool-use behaviors include the use of tool composites and tool reuse .	tool	1
Although the ketch and , to a much lesser extent , the yawl are more popular than the schooner in Europe , the schooner is arguably more efficient .	ketch	GSA contributes to the management of U.S. Federal property , including a 215,000 vehicle motor pool .	vehicle	1
Identification is complicated by similarities to long-tailed jaeger and pomarine jaeger , and the existence of three colour morphs .	jaeger	Both groups are medium to large coastal seabirds that plunge-dive for fish .	fish	0
"One release included "" Mauvais garçon "" as a B-side and another "" Le barbu sans barbe "" ."	barbu	In the spring and fall , when the fish are spawning , the Calkins Bridge Dam is a favorite spot for fishermen .	fish	1
There are many marine resources such as snook , turtles and shrimp .	snook	Museum curator Marjorie Courtenay-Latimer discovered the fish among the catch of a local angler , Captain Hendrick Goosen , on December 23 , 1938 .	fish	1
The band was one of the few straightedge bands not playing the typical mosh core sound of the time period .	straightedge	A traditional sculptor 's tool , the subbia produced punched marks that had never before been left as a final surface in a work completed to this degree .	tool	1
The tornado also flattened Windsor 's main feedlot and destroyed a dairy barn , killing numerous cows .	feedlot	It was written as a deliberate attempt by Williamson to try something in a different style and was written as a vehicle for guitarist Karin Schaupp .	vehicle	0
A large lagoon is home to numerous species of waterfowl , both foreign & native , as well as shoebill storks .	waterfowl	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	1
"The song features Minaj singing the words "" stupid hoe "" in falsetto vocals ."	hoe	Harrington Machine Shop The Harrington Machine Shop is a historic industrial building located in the Franklintown area of Philadelphia .	building	0
Today , woodcock , hairy and downy woodpeckers , and warblers inhabit the extensive forest .	woodcock	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	1
He is later found unconscious in the clubhouse .	clubhouse	Because tire noise is generated through the conversion of kinetic energy to sound waves , more noise is produced as the speed of a vehicle increases .	vehicle	0
The species include northern lapwing , common redshank and western yellow wagtail .	wagtail	As other fish , groupers harbour parasites , including digeneans , nematodes , cestodes , monogeneans , isopods , and copepods .	fish	0
"HMS Hadleigh Castle ( K355 ) HMS "" Hadleigh Castle "" ( K355 ) was a "" Castle "" - class corvette of Britain 's Royal Navy ."	corvette	The building was subsequently converted to office usage and houses the regional office of the U.S. Citizenship and Immigration Services .	building	0
It was donated for use as a lamasery after his death in 1735 .	lamasery	Bell Telephone Building ( Montreal ) The Bell Telephone Building ( ) is a neoclassical office building in Montreal , Quebec , Canada .	building	1
"In Nablus , these shops were confined , or mostly confined , to a caravansary called Khan al-Tujjar , in the middle of Nablus . """	caravansary	The five-storey research and clinic building is linked to the hospital proper by an air bridge .	building	1
Thecla leechii Thecla leechii , the ferruginous hairstreak , is a small butterfly found in India that belongs to the lycaenids or blues family .	hairstreak	Albicoccus Albicoccus is an extinct genus of scale insect in the extinct monotypic family Albicoccidae , containing a single species , Albicoccus dimai .	insect	1
In 1921 , after they had won the FA Cup , the cockerel badge was added to the shirt .	cockerel	List of birds of San Marino This is a list of the bird species recorded in San Marino .	bird	1
Its nectar is toxic to the honeybee .	honeybee	"Phorbia platura is the only insect with significant impact on "" lupinus albus . """	insect	1
In the mid-19th-century , Horntown was a stagecoach stop on the route between Wilmington , Delaware and Eastville , Virginia .	stagecoach	Since then , cryptography has become a widely used tool in communications , computer networks , and computer security generally .	tool	0
Strymon martialis Strymon martialis , known generally as martial scrub hairstreak , is a species of hairstreak in the family of butterflies known as Lycaenidae .	hairstreak	Coral reef fish are characterized by high biodiversity .	fish	0
Engraving is done with a burin , which is a small bar of hardened steel with a sharp point .	burin	He felt that a building of quality did not unnecessarily disturb the site and should be comprehensible to everyone .	building	0
The structure of plant-pollinator networks may have large consequences for the way in which pollinator communities respond to increasingly harsh conditions .	pollinator	It is home to 220 bird species and 30 fresh water fish species .	bird	0
The type species was subsequently designated as the baya weaver .	baya	List of birds of Switzerland This is a list of the bird species recorded in Switzerland .	bird	1
Yogi is first ordered to operate the snowplow , to which he saves Mrs. Throckmorton on the road from an avalanche caused by Herman .	snowplow	A timber station building and toilet were provided on the , which was later extended to .	building	0
Because of this there needs to be a disparate number of females to males , in fact the variegated tinamou has a 4:1 female to male ratio .	tinamou	Donald then grabs the club and begins repeatedly hitting Goofy on the head , however Goofy is distracted by the bird flying away .	bird	1
